duns,nombre,cede_principal,email_representante,,
10-100-1001,editorial1,DE,1@gmail.com,,
10-100-1002,editorial2,TH,2@gmail.com,,
10-100-1003,editorial3,DO,3@gmail.com,,
10-100-1004,editorial4,AU,4@gmail.com,,
10-100-1005,editorial5,JP,5@gmail.com,,
10-100-1006,editorial6,CO,6@gmail.com,,
10-100-1007,editorial7,CN,7@gmail.com,,
10-100-1008,editorial8,IE,8@gmail.com,,
10-100-1009,editorial9,BS,9@gmail.com,,
10-100-1010,editorial10,PL,10@gmail.com,,
10-100-1011,editorial11,SE,11@gmail.com,,
10-100-1012,editorial12,US,12@gmail.com,,
10-100-1013,editorial13,MX,13@gmail.com,,
10-100-1014,editorial14,JP,14@gmail.com,,
10-100-1015,editorial15,MG,15@gmail.com,,
10-100-1016,editorial16,GB,16@gmail.com,,
10-100-1017,editorial17,US,17@gmail.com,,
10-100-1018,editorial18,AO,18@gmail.com,,
10-100-1019,editorial19,AU,19@gmail.com,,
10-100-1020,editorial20,PE,20@gmail.com,,
10-100-1021,editorial21,US,21@gmail.com,,
10-100-1022,editorial22,EC,22@gmail.com,,
10-100-1023,editorial23,BR,23@gmail.com,hdh,23
10-100-1024,editorial24,PG,24@gmail.com,fgdfg,24
10-100-1025,editorial25,CN,25@gmail.com,dhdh,25
10-100-1026,editorial26,MY,26@gmail.com,,26
10-100-1027,editorial27,US,27@gmail.com,,27
10-100-1028,editorial28,ES,28@gmail.com,,28
10-100-1029,editorial29,US,29@gmail.com,,29
10-100-1030,editorial30,AU,30@gmail.com,,30
10-100-1031,editorial31,CA,31@gmail.com,,31
10-100-1032,editorial32,AU,32@gmail.com,,32
10-100-1033,editorial33,AU,33@gmail.com,,33
10-100-1034,editorial34,US,34@gmail.com,,34
10-100-1035,editorial35,IN,35@gmail.com,,35
10-100-1036,editorial36,DE,36@gmail.com,,36
10-100-1037,editorial37,IN,37@gmail.com,,37
10-100-1038,editorial38,KE,38@gmail.com,,38
10-100-1039,editorial39,US,39@gmail.com,,39
10-100-1040,editorial40,US,40@gmail.com,,40
10-100-1041,editorial41,US,41@gmail.com,,41
10-100-1042,editorial42,IR,42@gmail.com,,42
10-100-1043,editorial43,US,43@gmail.com,,43
10-100-1044,editorial44,OM,44@gmail.com,,44
10-100-1045,editorial45,US,45@gmail.com,,45
10-100-1046,editorial46,SE,46@gmail.com,,46
10-100-1047,editorial47,MY,47@gmail.com,,47
10-100-1048,editorial48,AU,48@gmail.com,,48
10-100-1049,editorial49,CA,49@gmail.com,,49
10-100-1050,editorial50,TH,50@gmail.com,,50
10-100-1051,editorial51,RU,51@gmail.com,,51
10-100-1052,editorial52,PG,52@gmail.com,,52
10-100-1053,editorial53,VE,53@gmail.com,,53
10-100-1054,editorial54,ZM,54@gmail.com,,54
10-100-1055,editorial55,CN,55@gmail.com,,55
10-100-1056,editorial56,CN,56@gmail.com,,56
10-100-1057,editorial57,AU,57@gmail.com,,57
10-100-1058,editorial58,US,58@gmail.com,,58
10-100-1059,editorial59,AO,59@gmail.com,,59
10-100-1060,editorial60,US,60@gmail.com,,60
10-100-1061,editorial61,US,61@gmail.com,,61
10-100-1062,editorial62,EH,62@gmail.com,,62
10-100-1063,editorial63,CL,63@gmail.com,,63
10-100-1064,editorial64,PK,64@gmail.com,,64
10-100-1065,editorial65,PH,65@gmail.com,,65
10-100-1066,editorial66,US,66@gmail.com,,66
10-100-1067,editorial67,PH,67@gmail.com,,67
10-100-1068,editorial68,CO,68@gmail.com,,68
10-100-1069,editorial69,BR,69@gmail.com,,69
10-100-1070,editorial70,US,70@gmail.com,,70
10-100-1071,editorial71,AU,71@gmail.com,,71
10-100-1072,editorial72,US,72@gmail.com,,72
10-100-1073,editorial73,RU,73@gmail.com,,73
10-100-1074,editorial74,RU,74@gmail.com,,74
10-100-1075,editorial75,PF,75@gmail.com,,75
10-100-1076,editorial76,KR,76@gmail.com,,76
10-100-1077,editorial77,US,77@gmail.com,,77
10-100-1078,editorial78,IN,78@gmail.com,,78
10-100-1079,editorial79,AU,79@gmail.com,,79
10-100-1080,editorial80,EG,80@gmail.com,,80
10-100-1081,editorial81,IT,81@gmail.com,,81
10-100-1082,editorial82,DO,82@gmail.com,,82
10-100-1083,editorial83,ID,83@gmail.com,,83
10-100-1084,editorial84,CA,84@gmail.com,,84
10-100-1085,editorial85,MY,85@gmail.com,,85
10-100-1086,editorial86,US,86@gmail.com,,86
10-100-1087,editorial87,US,87@gmail.com,,87
10-100-1088,editorial88,SR,88@gmail.com,,88
10-100-1089,editorial89,VE,89@gmail.com,,89
10-100-1090,editorial90,AU,90@gmail.com,,90
10-100-1091,editorial91,CA,91@gmail.com,,91
10-100-1092,editorial92,US,92@gmail.com,,92
10-100-1093,editorial93,HN,93@gmail.com,,93
10-100-1094,editorial94,CL,94@gmail.com,,94
10-100-1095,editorial95,CO,95@gmail.com,,95
10-100-1096,editorial96,AU,96@gmail.com,,96
10-100-1097,editorial97,FR,97@gmail.com,,97
10-100-1098,editorial98,CR,98@gmail.com,,98
10-100-1099,editorial99,ID,99@gmail.com,,99
10-100-1100,editorial100,CA,100@gmail.com,,100
10-100-1101,editorial101,SA,101@gmail.com,,101
10-100-1102,editorial102,NZ,102@gmail.com,,102
10-100-1103,editorial103,BG,103@gmail.com,,103
10-100-1104,editorial104,US,104@gmail.com,,104
10-100-1105,editorial105,IT,105@gmail.com,,105
10-100-1106,editorial106,US,106@gmail.com,,106
10-100-1107,editorial107,US,107@gmail.com,,107
10-100-1108,editorial108,VC,108@gmail.com,,108
10-100-1109,editorial109,BR,109@gmail.com,,109
10-100-1110,editorial110,MX,110@gmail.com,,110
10-100-1111,editorial111,MX,111@gmail.com,,111
10-100-1112,editorial112,US,112@gmail.com,,112
10-100-1113,editorial113,AE,113@gmail.com,,113
10-100-1114,editorial114,US,114@gmail.com,,114
10-100-1115,editorial115,DE,115@gmail.com,,115
10-100-1116,editorial116,SA,116@gmail.com,,116
10-100-1117,editorial117,US,117@gmail.com,,117
10-100-1118,editorial118,TH,118@gmail.com,,118
10-100-1119,editorial119,NL,119@gmail.com,,119
10-100-1120,editorial120,US,120@gmail.com,,120
10-100-1121,editorial121,AU,121@gmail.com,,121
10-100-1122,editorial122,SD,122@gmail.com,,122
10-100-1123,editorial123,US,123@gmail.com,,123
10-100-1124,editorial124,AU,124@gmail.com,,124
10-100-1125,editorial125,MM,125@gmail.com,,125
10-100-1126,editorial126,CK,126@gmail.com,,126
10-100-1127,editorial127,CA,127@gmail.com,,127
10-100-1128,editorial128,CA,128@gmail.com,,128
10-100-1129,editorial129,US,129@gmail.com,,129
10-100-1130,editorial130,CA,130@gmail.com,,130
10-100-1131,editorial131,CN,131@gmail.com,,131
10-100-1132,editorial132,IN,132@gmail.com,,132
10-100-1133,editorial133,IR,133@gmail.com,,133
10-100-1134,editorial134,BR,134@gmail.com,,134
10-100-1135,editorial135,CL,135@gmail.com,,135
10-100-1136,editorial136,OM,136@gmail.com,,136
10-100-1137,editorial137,CA,137@gmail.com,,137
10-100-1138,editorial138,JP,138@gmail.com,,138
10-100-1139,editorial139,VI,139@gmail.com,,139
10-100-1140,editorial140,GB,140@gmail.com,,140
10-100-1141,editorial141,US,141@gmail.com,,141
10-100-1142,editorial142,US,142@gmail.com,,142
10-100-1143,editorial143,PH,143@gmail.com,,143
10-100-1144,editorial144,SY,144@gmail.com,,144
10-100-1145,editorial145,DZ,145@gmail.com,,145
10-100-1146,editorial146,VN,146@gmail.com,,146
10-100-1147,editorial147,AO,147@gmail.com,,147
10-100-1148,editorial148,ZA,148@gmail.com,,148
10-100-1149,editorial149,ZW,149@gmail.com,,149
10-100-1150,editorial150,CN,150@gmail.com,,150
10-100-1151,editorial151,BR,151@gmail.com,,151
10-100-1152,editorial152,MG,152@gmail.com,,152
10-100-1153,editorial153,US,153@gmail.com,,153
10-100-1154,editorial154,CU,154@gmail.com,,154
10-100-1155,editorial155,US,155@gmail.com,,155
10-100-1156,editorial156,MX,156@gmail.com,,156
10-100-1157,editorial157,ET,157@gmail.com,,157
10-100-1158,editorial158,GA,158@gmail.com,,158
10-100-1159,editorial159,CM,159@gmail.com,,159
10-100-1160,editorial160,US,160@gmail.com,,160
10-100-1161,editorial161,BO,161@gmail.com,,161
10-100-1162,editorial162,PY,162@gmail.com,,162
10-100-1163,editorial163,CA,163@gmail.com,,163
10-100-1164,editorial164,BR,164@gmail.com,,164
10-100-1165,editorial165,CN,165@gmail.com,,165
10-100-1166,editorial166,US,166@gmail.com,,166
10-100-1167,editorial167,DE,167@gmail.com,,167
10-100-1168,editorial168,KE,168@gmail.com,,168
10-100-1169,editorial169,BY,169@gmail.com,,169
10-100-1170,editorial170,JP,170@gmail.com,,170
10-100-1171,editorial171,CO,171@gmail.com,,171
