codigo,componente
propuesta1,juguete1
propuesta2,juguete2
propuesta3,juguete3
propuesta4,juguete4
propuesta5,juguete5
propuesta6,juguete6
propuesta7,juguete7
propuesta8,juguete8
propuesta9,juguete9
propuesta10,juguete10
propuesta11,juguete11
propuesta12,juguete12
propuesta13,juguete13
propuesta14,juguete14
propuesta15,juguete15
propuesta16,juguete16
propuesta17,juguete17
propuesta18,juguete18
propuesta19,juguete19
propuesta20,juguete20
propuesta21,juguete21
propuesta22,juguete22
propuesta23,juguete23
propuesta24,juguete24
propuesta25,juguete25
propuesta26,juguete26
propuesta27,juguete27
propuesta28,juguete28
propuesta29,juguete29
propuesta30,juguete30
propuesta31,juguete31
propuesta32,juguete32
propuesta33,juguete33
propuesta34,juguete34
propuesta35,juguete35
propuesta36,juguete36
propuesta37,juguete37
propuesta38,juguete38
propuesta39,juguete39
propuesta40,juguete40
propuesta41,juguete41
propuesta42,juguete42
propuesta43,juguete43
propuesta44,juguete44
propuesta45,juguete45
propuesta46,juguete46
propuesta47,juguete47
propuesta48,juguete48
propuesta49,juguete49
propuesta50,juguete50
propuesta51,juguete51
propuesta52,juguete52
propuesta53,juguete53
propuesta54,juguete54
propuesta55,juguete55
propuesta56,juguete56
propuesta57,juguete57
propuesta58,juguete58
propuesta59,juguete59
propuesta60,juguete60
propuesta61,juguete61
propuesta62,juguete62
propuesta63,juguete63
propuesta64,juguete64
propuesta65,juguete65
propuesta66,juguete66
propuesta67,juguete67
propuesta68,juguete68
propuesta69,juguete69
propuesta70,juguete70
propuesta71,juguete71
propuesta72,juguete72
propuesta73,juguete73
propuesta74,juguete74
propuesta75,juguete75
propuesta76,juguete76
propuesta77,juguete77
propuesta78,juguete78
propuesta79,juguete79
propuesta80,juguete80
propuesta81,juguete81
propuesta82,juguete82
propuesta83,juguete83
propuesta84,juguete84
propuesta85,juguete85
propuesta86,juguete86
propuesta87,juguete87
propuesta88,juguete88
propuesta89,juguete89
propuesta90,juguete90
propuesta91,juguete91
