nombre,instrucciones,lanzamiento,unidades,previstas,edicion,estado,precio,fecha_licencia,contrato_licencia,instru
juego1,https://instruccion1.pdf,2/3/2008,400,50,1,n,100,1/25/2001,https://contrato1.pdf,instruccion1
juego2,https://instruccion2.pdf,2/3/2008,400,50,1,n,150,1/26/2001,https://contrato2.pdf,instruccion2
juego3,https://instruccion3.pdf,2/3/2008,400,50,1,n,200,1/27/2001,https://contrato3.pdf,instruccion3
juego4,https://instruccion4.pdf,2/3/2008,400,50,1,n,370,1/28/2001,https://contrato4.pdf,instruccion4
juego5,https://instruccion5.pdf,2/3/2008,400,50,1,n,125,1/29/2001,https://contrato5.pdf,instruccion5
juego6,https://instruccion6.pdf,2/3/2008,400,50,1,n,75,1/30/2001,https://contrato6.pdf,instruccion6
juego7,https://instruccion7.pdf,2/3/2008,400,50,1,n,100,1/31/2001,https://contrato7.pdf,instruccion7
juego8,https://instruccion8.pdf,2/3/2008,400,50,1,n,320,2/1/2001,https://contrato8.pdf,instruccion8
juego9,https://instruccion9.pdf,2/3/2008,400,50,1,n,100,2/2/2001,https://contrato9.pdf,instruccion9
juego10,https://instruccion10.pdf,2/3/2008,400,50,1,n,150,2/3/2001,https://contrato10.pdf,instruccion10
juego11,https://instruccion11.pdf,2/3/2008,400,50,1,n,200,2/4/2001,https://contrato11.pdf,instruccion11
juego12,https://instruccion12.pdf,2/3/2008,400,50,1,n,370,2/5/2001,https://contrato12.pdf,instruccion12
juego13,https://instruccion13.pdf,2/3/2008,400,50,1,n,125,2/6/2001,https://contrato13.pdf,instruccion13
juego14,https://instruccion14.pdf,2/3/2008,400,50,1,n,75,2/7/2001,https://contrato14.pdf,instruccion14
juego15,https://instruccion15.pdf,2/3/2008,400,50,1,n,100,2/8/2001,https://contrato15.pdf,instruccion15
juego16,https://instruccion16.pdf,2/3/2008,400,50,1,n,320,2/9/2001,https://contrato16.pdf,instruccion16
juego17,https://instruccion17.pdf,2/3/2008,400,50,1,n,100,2/10/2001,https://contrato17.pdf,instruccion17
juego18,https://instruccion18.pdf,2/3/2008,400,50,1,n,150,2/11/2001,https://contrato18.pdf,instruccion18
juego19,https://instruccion19.pdf,2/3/2008,400,50,1,n,200,2/12/2001,https://contrato19.pdf,instruccion19
juego20,https://instruccion20.pdf,2/3/2008,400,50,1,n,370,2/13/2001,https://contrato20.pdf,instruccion20
juego21,https://instruccion21.pdf,2/3/2008,400,50,1,n,125,2/14/2001,https://contrato21.pdf,instruccion21
juego22,https://instruccion22.pdf,2/3/2008,400,50,1,n,75,2/15/2001,https://contrato22.pdf,instruccion22
juego23,https://instruccion23.pdf,2/3/2008,400,50,1,n,100,2/16/2001,https://contrato23.pdf,instruccion23
juego24,https://instruccion24.pdf,2/3/2008,400,50,1,n,320,2/17/2001,https://contrato24.pdf,instruccion24
juego25,https://instruccion25.pdf,2/3/2008,400,50,1,n,100,2/18/2001,https://contrato25.pdf,instruccion25
juego26,https://instruccion26.pdf,2/3/2008,400,50,1,n,150,2/19/2001,https://contrato26.pdf,instruccion26
juego27,https://instruccion27.pdf,2/3/2008,400,50,1,n,200,2/20/2001,https://contrato27.pdf,instruccion27
juego28,https://instruccion28.pdf,2/3/2008,400,50,1,n,370,2/21/2001,https://contrato28.pdf,instruccion28
juego29,https://instruccion29.pdf,2/3/2008,400,50,1,n,125,2/22/2001,https://contrato29.pdf,instruccion29
juego30,https://instruccion30.pdf,2/3/2008,400,50,1,n,75,2/23/2001,https://contrato30.pdf,instruccion30
juego31,https://instruccion31.pdf,2/3/2008,400,50,1,n,100,2/24/2001,https://contrato31.pdf,instruccion31
juego32,https://instruccion32.pdf,2/3/2008,400,50,1,n,320,2/25/2001,https://contrato32.pdf,instruccion32
juego33,https://instruccion33.pdf,2/3/2008,400,50,1,n,100,2/26/2001,https://contrato33.pdf,instruccion33
juego34,https://instruccion34.pdf,2/3/2008,400,50,1,n,150,2/27/2001,https://contrato34.pdf,instruccion34
juego35,https://instruccion35.pdf,2/3/2008,400,50,1,n,200,2/28/2001,https://contrato35.pdf,instruccion35
juego36,https://instruccion36.pdf,2/3/2008,400,50,1,n,370,3/1/2001,https://contrato36.pdf,instruccion36
juego37,https://instruccion37.pdf,2/3/2008,400,50,1,n,125,3/2/2001,https://contrato37.pdf,instruccion37
juego38,https://instruccion38.pdf,2/3/2008,400,50,1,n,75,3/3/2001,https://contrato38.pdf,instruccion38
juego39,https://instruccion39.pdf,2/3/2008,400,50,1,n,100,3/4/2001,https://contrato39.pdf,instruccion39
juego40,https://instruccion40.pdf,2/3/2008,400,50,1,n,320,3/5/2001,https://contrato40.pdf,instruccion40
juego41,https://instruccion41.pdf,2/3/2008,400,50,1,n,100,3/6/2001,https://contrato41.pdf,instruccion41
juego42,https://instruccion42.pdf,2/3/2008,400,50,1,n,150,3/7/2001,https://contrato42.pdf,instruccion42
juego43,https://instruccion43.pdf,2/3/2008,400,50,1,n,200,3/8/2001,https://contrato43.pdf,instruccion43
juego44,https://instruccion44.pdf,2/3/2008,400,50,1,n,370,3/9/2001,https://contrato44.pdf,instruccion44
juego45,https://instruccion45.pdf,2/3/2008,400,50,1,n,125,3/10/2001,https://contrato45.pdf,instruccion45
juego46,https://instruccion46.pdf,2/3/2008,400,50,1,n,75,3/11/2001,https://contrato46.pdf,instruccion46
juego47,https://instruccion47.pdf,2/3/2008,400,50,1,n,100,3/12/2001,https://contrato47.pdf,instruccion47
juego48,https://instruccion48.pdf,2/3/2008,400,50,1,n,320,3/13/2001,https://contrato48.pdf,instruccion48
juego49,https://instruccion49.pdf,2/3/2008,400,50,1,n,100,3/14/2001,https://contrato49.pdf,instruccion49
juego50,https://instruccion50.pdf,2/3/2008,400,50,1,n,150,3/15/2001,https://contrato50.pdf,instruccion50
juego51,https://instruccion51.pdf,2/3/2008,400,50,1,n,200,3/16/2001,https://contrato51.pdf,instruccion51
juego52,https://instruccion52.pdf,2/3/2008,400,50,1,n,370,3/17/2001,https://contrato52.pdf,instruccion52
juego53,https://instruccion53.pdf,2/3/2008,400,50,1,n,125,3/18/2001,https://contrato53.pdf,instruccion53
juego54,https://instruccion54.pdf,2/3/2008,400,50,1,n,75,3/19/2001,https://contrato54.pdf,instruccion54
juego55,https://instruccion55.pdf,2/3/2008,400,50,1,n,100,3/20/2001,https://contrato55.pdf,instruccion55
juego56,https://instruccion56.pdf,2/3/2008,400,50,1,n,320,3/21/2001,https://contrato56.pdf,instruccion56
juego57,https://instruccion57.pdf,2/3/2008,400,50,1,n,100,3/22/2001,https://contrato57.pdf,instruccion57
juego58,https://instruccion58.pdf,2/3/2008,400,50,1,n,150,3/23/2001,https://contrato58.pdf,instruccion58
