codigo,descripcion,fecha
propuesta1,descripcion1,2/12/1999
propuesta2,descripcion2,2/13/1999
propuesta3,descripcion3,2/14/1999
propuesta4,descripcion4,2/15/1999
propuesta5,descripcion5,2/16/1999
propuesta6,descripcion6,2/17/1999
propuesta7,descripcion7,2/18/1999
propuesta8,descripcion8,2/19/1999
propuesta9,descripcion9,2/20/1999
propuesta10,descripcion10,2/21/1999
propuesta11,descripcion11,2/22/1999
propuesta12,descripcion12,2/23/1999
propuesta13,descripcion13,2/24/1999
propuesta14,descripcion14,2/25/1999
propuesta15,descripcion15,2/26/1999
propuesta16,descripcion16,2/27/1999
propuesta17,descripcion17,2/28/1999
propuesta18,descripcion18,3/1/1999
propuesta19,descripcion19,3/2/1999
propuesta20,descripcion20,3/3/1999
propuesta21,descripcion21,3/4/1999
propuesta22,descripcion22,3/5/1999
propuesta23,descripcion23,3/6/1999
propuesta24,descripcion24,3/7/1999
propuesta25,descripcion25,3/8/1999
propuesta26,descripcion26,3/9/1999
propuesta27,descripcion27,3/10/1999
propuesta28,descripcion28,3/11/1999
propuesta29,descripcion29,3/12/1999
propuesta30,descripcion30,3/13/1999
propuesta31,descripcion31,3/14/1999
propuesta32,descripcion32,3/15/1999
propuesta33,descripcion33,3/16/1999
propuesta34,descripcion34,3/17/1999
propuesta35,descripcion35,3/18/1999
propuesta36,descripcion36,3/19/1999
propuesta37,descripcion37,3/20/1999
propuesta38,descripcion38,3/21/1999
propuesta39,descripcion39,3/22/1999
propuesta40,descripcion40,3/23/1999
propuesta41,descripcion41,3/24/1999
propuesta42,descripcion42,3/25/1999
propuesta43,descripcion43,3/26/1999
propuesta44,descripcion44,3/27/1999
propuesta45,descripcion45,3/28/1999
propuesta46,descripcion46,3/29/1999
propuesta47,descripcion47,3/30/1999
propuesta48,descripcion48,3/31/1999
propuesta49,descripcion49,4/1/1999
propuesta50,descripcion50,4/2/1999
propuesta51,descripcion51,4/3/1999
propuesta52,descripcion52,4/4/1999
propuesta53,descripcion53,4/5/1999
propuesta54,descripcion54,4/6/1999
propuesta55,descripcion55,4/7/1999
propuesta56,descripcion56,4/8/1999
propuesta57,descripcion57,4/9/1999
propuesta58,descripcion58,4/10/1999
propuesta59,descripcion59,4/11/1999
propuesta60,descripcion60,4/12/1999
propuesta61,descripcion61,4/13/1999
propuesta62,descripcion62,4/14/1999
propuesta63,descripcion63,4/15/1999
propuesta64,descripcion64,4/16/1999
propuesta65,descripcion65,4/17/1999
propuesta66,descripcion66,4/18/1999
propuesta67,descripcion67,4/19/1999
propuesta68,descripcion68,4/20/1999
propuesta69,descripcion69,4/21/1999
propuesta70,descripcion70,4/22/1999
propuesta71,descripcion71,4/23/1999
propuesta72,descripcion72,4/24/1999
propuesta73,descripcion73,4/25/1999
propuesta74,descripcion74,4/26/1999
propuesta75,descripcion75,4/27/1999
propuesta76,descripcion76,4/28/1999
propuesta77,descripcion77,4/29/1999
propuesta78,descripcion78,4/30/1999
propuesta79,descripcion79,5/1/1999
propuesta80,descripcion80,5/2/1999
propuesta81,descripcion81,5/3/1999
propuesta82,descripcion82,5/4/1999
propuesta83,descripcion83,5/5/1999
propuesta84,descripcion84,5/6/1999
propuesta85,descripcion85,5/7/1999
propuesta86,descripcion86,5/8/1999
propuesta87,descripcion87,5/9/1999
propuesta88,descripcion88,5/10/1999
propuesta89,descripcion89,5/11/1999
propuesta90,descripcion90,5/12/1999
propuesta91,descripcion91,5/13/1999
propuesta92,descripcion92,5/14/1999
propuesta93,descripcion93,5/15/1999
propuesta94,descripcion94,5/16/1999
propuesta95,descripcion95,5/17/1999
propuesta96,descripcion96,5/18/1999
propuesta97,descripcion97,5/19/1999
propuesta98,descripcion98,5/20/1999
propuesta99,descripcion99,5/21/1999
propuesta100,descripcion100,5/22/1999
propuesta101,descripcion101,5/23/1999
propuesta102,descripcion102,5/24/1999
propuesta103,descripcion103,5/25/1999
propuesta104,descripcion104,5/26/1999
propuesta105,descripcion105,5/27/1999
propuesta106,descripcion106,5/28/1999
propuesta107,descripcion107,5/29/1999
propuesta108,descripcion108,5/30/1999
propuesta109,descripcion109,5/31/1999
propuesta110,descripcion110,6/1/1999
propuesta111,descripcion111,6/2/1999
propuesta112,descripcion112,6/3/1999
propuesta113,descripcion113,6/4/1999
propuesta114,descripcion114,6/5/1999
propuesta115,descripcion115,6/6/1999
propuesta116,descripcion116,6/7/1999
propuesta117,descripcion117,6/8/1999
propuesta118,descripcion118,6/9/1999
propuesta119,descripcion119,6/10/1999
propuesta120,descripcion120,6/11/1999
propuesta121,descripcion121,6/12/1999
propuesta122,descripcion122,6/13/1999
propuesta123,descripcion123,6/14/1999
propuesta124,descripcion124,6/15/1999
propuesta125,descripcion125,6/16/1999
propuesta126,descripcion126,6/17/1999
propuesta127,descripcion127,6/18/1999
propuesta128,descripcion128,6/19/1999
propuesta129,descripcion129,6/20/1999
propuesta130,descripcion130,6/21/1999
propuesta131,descripcion131,6/22/1999
propuesta132,descripcion132,6/23/1999
propuesta133,descripcion133,6/24/1999
propuesta134,descripcion134,6/25/1999
propuesta135,descripcion135,6/26/1999
